ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	178	0.622707593663447	1.83163415287738	1.96942369111821e-08	1.9359434883692e-06	1.42097701280015e-06	3438	tags=44%, list=18%, signal=36%	ACTN2/VTN/FLNC/VEGFD/MYLK/MYL9/THBS4/TNN/COL4A6/CAV1/COMP/FLNA/ITGA8/MAPK10/IGF1/TNC/ITGA7/TNXB/LAMA2/AKT3/ITGA9/THBS1/ITGA5/HGF/FN1/COL3A1/COL6A2/PDGFRA/COL4A4/ITGA1/LAMA4/COL6A3/COL1A2/PRKCB/PDGFD/PDGFC/THBS2/ACTN1/COL5A1/COL1A1/PARVA/CAV2/LAMC3/VEGFC/ITGA11/ITGB3/PDGFRB/COL4A2/EGFR/COL5A2/ILK/COL6A1/CHAD/SHC2/VWF/VCL/TLN1/LAMC1/ITGB6/PPP1R12A/COL4A1/VEGFB/FYN/THBS3/PIP5K1C/PIK3CG/FLT4/RAP1A/PGF/PDGFB/ITGAV/ITGB1/LAMB1/ZYX/IBSP/KDR/BCL2/LAMB2
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	92	0.704531479923663	1.98495839293533	2.09291187931805e-08	1.9359434883692e-06	1.42097701280015e-06	1691	tags=33%, list=9%, signal=30%	PLA2G1B/ACTG2/MYH11/MYLK/KCNMA1/KCNMB1/MYL9/ADRA1B/PPP1R14A/PPP1R12B/ACTA2/AGTR1/ADCY5/CALD1/PLA2G5/IRAG1/ADCY1/CACNA1C/GUCY1A1/PRKG1/GUCY1B1/EDNRA/NPR1/RAMP1/AVPR1A/PRKCB/NPR2/RAMP2/ITPR1/PTGIR
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	113	0.680746321696755	1.94352108357073	5.2117829891313e-08	3.21393284329764e-06	2.35901756350154e-06	2672	tags=51%, list=14%, signal=44%	PRSS1/CHRM2/CCKAR/CHRNA3/TACR2/MLNR/VIPR2/GRPR/ADRA1B/F2/AGTR1/GRIK5/CTSG/PTGER3/CCKBR/CGA/GRID1/GHR/GLRB/PTGFR/CNR1/P2RX1/LEPR/NMUR1/PTGER1/P2RY14/EDNRA/PRSS2/AVPR1A/S1PR3/ADRB2/SCTR/LPAR1/P2RY8/CYSLTR1/OXTR/HRH2/THRB/HTR2B/S1PR1/BDKRB1/GABBR1/PTGIR/EDNRB/NR3C1/APLNR/F2R/TBXA2R/F2RL3/FPR1/P2RY6/F2RL2/DRD4/LPAR6/S1PR2/HTR1B/CALCRL/C5AR1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	61	0.741668402151531	2.00572163238539	1.07988581231884e-07	4.99447188197462e-06	3.66592815234552e-06	1587	tags=46%, list=8%, signal=42%	DES/SGCA/TPM2/DMD/SGCD/ITGA8/IGF1/CACNA1C/CACNB2/ACTC1/ITGA7/LAMA2/CACNA2D1/PRKAA2/TPM1/CACNA2D2/TGFB3/ITGA9/ITGA5/SLC8A1/RYR2/ITGA1/TGFB2/CACNG4/IL6/ITGA11/ITGB3/CACNA2D4
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	125	0.638953188282923	1.82970027228092	3.23274446479841e-07	1.19611545197541e-05	8.77945338861041e-06	2512	tags=40%, list=13%, signal=35%	CHRM2/CCKAR/TACR2/MYLK/PLN/SLC8A2/GRPR/ADRA1B/AGTR1/PTGER3/CCKBR/CACNA1H/ADCY1/CACNA1C/PTGFR/PDE1A/P2RX1/PDE1B/TRPC1/ATP2B4/PTGER1/EDNRA/CACNA1A/SLC8A1/PDGFRA/RYR2/AVPR1A/ADRB2/ITPKB/PRKCB/CYSLTR1/OXTR/GNAL/HRH2/ITPR1/HTR2B/PDGFRB/BDKRB1/PHKG1/EGFR/PLCG2/EDNRB/PLCD4/F2R/ADCY4/TBXA2R/PRKACB/GNA14/SLC25A4/BST1
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	119	-0.494988194289269	-2.02465079378161	5.67483502758471e-07	1.74974080017195e-05	1.28430476940075e-05	2767	tags=39%, list=15%, signal=33%	RB1/SKP2/ORC6/RAD21/CDC14B/ATR/SFN/MCM7/ANAPC1/TFDP1/MCM6/PRKDC/CCNB2/BUB3/TTK/CHEK1/RBL1/PTTG1/CDC25B/SMC1A/CHEK2/MYC/PLK1/PCNA/CCNB1/CDK1/BUB1B/MCM5/CCNE2/MCM4/CDC20/E2F1/CDC7/BUB1/CCNA2/MCM3/CDC45/ORC1/CDC25C/MCM2/MAD2L1/E2F2/ESPL1/CDC25A/PKMYT1/CCNE1
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	66	0.721306723557007	1.96439114313486	8.61035871433048e-07	2.27559480307306e-05	1.6702801115017e-05	2364	tags=50%, list=12%, signal=44%	DES/PLN/SGCA/TPM2/ADCY5/DMD/SGCD/ITGA8/IGF1/ADCY1/CACNA1C/CACNB2/ACTC1/ITGA7/LAMA2/CACNA2D1/TPM1/CACNA2D2/TGFB3/ITGA9/ITGA5/SLC8A1/RYR2/ITGA1/TGFB2/CACNG4/ITGA11/ITGB3/CACNA2D4/ADCY4/TGFB1/ITGB6/PRKACB
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	125	-0.459859386640697	-1.91629990771634	3.24745794952758e-06	7.50974650828253e-05	5.51213257222444e-05	7629	tags=70%, list=40%, signal=42%	SNRPF/SRSF10/SNW1/SRSF6/SART1/SNRPE/U2AF2/DDX42/SRSF2/SNU13/DHX8/DDX46/ISY1/SNRPB/RBM17/SMNDC1/SRSF7/SF3B2/CRNKL1/TCERG1/SRSF3/USP39/RBM22/U2SURP/PCBP1/NCBP2/TRA2B/WBP11/PRPF38A/HNRNPA3/THOC2/LSM6/SF3B1/HNRNPC/PRPF3/SF3B5/SF3A3/SNRPG/PRPF19/SNRNP40/SNRPA1/SF3A2/PRPF8/SNRPC/AQR/SNRPA/CDC5L/LSM8/LSM3/TXNL4A/NCBP1/PPIL1/HNRNPA1/LSM5/SF3A1/PRPF40A/SRSF9/HNRNPK/MAGOH/HNRNPM/CDC40/DHX16/HNRNPU/SRSF1/PPIH/SNRPD3/SF3B3/DDX23/HSPA8/LSM7/PHF5A/LSM2/EIF4A3/SNRNP200/EFTUD2/PUF60/PRPF6/CHERP/DHX15/LSM4/PRPF4/THOC3/PLRG1/HSPA6/SNRPD1/ALYREF/HSPA1A/HSPA1B
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	55	0.710466448046767	1.90075481117104	1.08046087270771e-05	0.000222094734945475	0.000163016903601515	2672	tags=62%, list=14%, signal=53%	FGA/FGB/FGG/SERPIND1/F2/C7/F13A1/SERPINE1/F7/CFH/SERPINF2/C1R/A2M/C1S/C4B/SERPING1/SERPINA5/F8/TFPI/C5/C4A/CFD/BDKRB1/F10/PLAT/VWF/C3/PROC/F2R/PROS1/PLAU/THBD/CFI/C5AR1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	57	0.704004650357947	1.89174820974796	1.3018390461777e-05	0.000240840223542875	0.000176776038902025	1627	tags=44%, list=9%, signal=40%	ACTN2/DES/CDH2/SGCA/DMD/SGCD/ITGA8/CACNA1C/CACNB2/ITGA7/LAMA2/CACNA2D1/CACNA2D2/ITGA9/ITGA5/SLC8A1/TCF7L1/RYR2/ITGA1/ACTN1/CACNG4/ITGA11/ITGB3/CACNA2D4/GJA1
